Signals=time	sram.a	sram.cs	sram.rd	sram.wr	sram.d
Radix=ns	Hex	Hex	Hex	Hex	Hex
Type	IN	IN	IN	IN	I/O
Width	2	1	1	1	3
         0	0	1	1	1	X
        50	0	0	1	1	X
        61	0	0	1	1	4
       150	0	0	1	0	4
       250	0	0	1	1	4
       350	0	1	1	1	4
       400	1	1	1	1	5
       450	1	0	1	1	5
       550	1	0	1	0	5
       650	1	0	1	1	5
       750	1	1	1	1	5
       800	2	1	1	1	2
       850	2	0	1	1	2
       950	2	0	1	0	2
      1050	2	0	1	1	2
      1150	2	1	1	1	2
      1200	3	1	1	1	3
      1250	3	0	1	1	3
      1350	3	0	1	0	3
      1450	3	0	1	1	3
      1550	3	1	1	1	3
      1600	0	1	1	1	X
      1650	0	0	1	1	X
      1700	0	0	0	1	X
      1761	0	0	0	1	X
      1771	0	0	0	1	4
      1900	0	0	1	1	4
      1950	0	1	1	1	4
      1961	0	1	1	1	X
      2000	1	1	1	1	X
      2050	1	0	1	1	X
      2100	1	0	0	1	X
      2161	1	0	0	1	X
      2171	1	0	0	1	5
      2300	1	0	1	1	5
      2350	1	1	1	1	5
      2361	1	1	1	1	X
      2400	2	1	1	1	X
      2450	2	0	1	1	X
      2500	2	0	0	1	X
      2561	2	0	0	1	X
      2571	2	0	0	1	2
      2700	2	0	1	1	2
      2750	2	1	1	1	2
      2761	2	1	1	1	X
      2800	3	1	1	1	X
      2850	3	0	1	1	X
      2900	3	0	0	1	X
      2961	3	0	0	1	X
      2971	3	0	0	1	3
      3100	3	0	1	1	3
      3150	3	1	1	1	3
      3161	3	1	1	1	X
      3200	0	1	1	1	7
      3250	0	0	1	1	7
      3300	0	0	0	1	7
      3350	0	0	0	0	7
      3371	0	0	0	0	X
      3401	0	0	0	0	7
      3450	0	0	0	1	7
      3500	0	0	1	1	7
      3550	0	1	1	1	7
      3600	0	1	1	1	X
      3650	0	0	1	1	X
      3700	0	0	0	1	X
      3761	0	0	0	1	7
      3900	0	0	1	1	7
      3950	0	1	1	1	7
      3961	0	1	1	1	X
