Signals=time	alu4bit.s	alu4bit.cin	alu4bit.a	alu4bit.b	alu4bit.r	alu4bit.cout
Radix=ns	Unsigned Decimal	Hex	Unsigned Decimal	Unsigned Decimal	Unsigned Decimal	Hex
Type	IN	IN	IN	IN	OUT	OUT
Width	3	1	4	4	4	1
         0	0	0	5	3	X	U
        54	0	0	5	3	10	U
        57	0	0	5	3	10	0
       400	1	0	5	3	10	0
       454	1	0	5	3	11	0
       800	2	0	5	3	11	0
       854	2	0	5	3	1	0
      1200	3	0	5	3	1	0
      1254	3	0	5	3	6	0
      1600	4	1	2	3	6	0
      1627	4	1	2	3	0	0
      1683	4	1	2	3	6	0
      2000	4	0	12	3	6	0
      2064	4	0	12	3	15	0
      2400	5	1	5	3	15	0
      2478	5	1	5	3	13	0
      2800	5	0	3	2	13	0
      2874	5	0	3	2	14	0
      3200	6	0	2	5	14	0
      3253	6	0	2	5	14	1
      3274	6	0	2	5	2	1
      3278	6	0	2	5	1	1
      3600	6	0	5	5	1	1
      3664	6	0	5	5	4	1
      4000	7	0	4	5	4	1
      4057	7	0	4	5	4	0
      4064	7	0	4	5	6	0
      4078	7	0	4	5	14	0
      4400	7	0	13	5	14	0
      4443	7	0	13	5	14	1
      4464	7	0	13	5	7	1
